message,label
Your OTP is 3061. Please do not share it with anyone.,safe
Reminder: Your appointment is scheduled for 895.,safe
Account suspension notice! Click 2275 to reactivate.,fraud
You have an unpaid invoice of $4585. Pay now: http://bit.ly/1856,fraud
Unauthorized login attempt detected. Verify your account: 1881,fraud
Congratulations! You won $956. Click here to claim: http://bit.ly/9846,fraud
Your account has been compromised. Verify now: 2462,fraud
Your account statement for 4421 is now available.,safe
Your package with tracking number 8078 is in transit.,safe
Your bill of $1603 is due on December.,safe
Urgent! Your credit card will be blocked. Action required: 2742,fraud
Your account has been compromised. Verify now: 2832,fraud
You are selected for a loan of $880. Apply here: http://bit.ly/6563,fraud
You are selected for a loan of $3185. Apply here: http://bit.ly/6508,fraud
Your subscription for 7277 has been renewed.,safe
You have an unpaid invoice of $251. Pay now: http://bit.ly/4595,fraud
Your OTP is 8637. Please do not share it with anyone.,safe
Win a new iPhone! Click 184 to enter.,fraud
Unauthorized login attempt detected. Verify your account: 4244,fraud
Payment of $346 was successfully processed.,safe
Thank you for your payment of $9640.,safe
Urgent! Your credit card will be blocked. Action required: 3438,fraud
You are selected for a loan of $3118. Apply here: http://bit.ly/7886,fraud
Your bill of $9938 is due on September.,safe
Your account has been compromised. Verify now: 3435,fraud
Confirm your password immediately: 2220,fraud
Your OTP is 3840. Please do not share it with anyone.,safe
Your bill of $8122 is due on September.,safe
You are selected for a loan of $478. Apply here: http://bit.ly/4163,fraud
Your order #338 has been shipped.,safe
Account suspension notice! Click 3110 to reactivate.,fraud
Your bill of $6905 is due on September.,safe
Your OTP is 5679. Please do not share it with anyone.,safe
Payment of $8095 was successfully processed.,safe
You are selected for a loan of $3588. Apply here: http://bit.ly/1529,fraud
Your bill of $5238 is due on October.,safe
You have an unpaid invoice of $3541. Pay now: http://bit.ly/1384,fraud
Account suspension notice! Click 1535 to reactivate.,fraud
Your package with tracking number 2344 is in transit.,safe
Your subscription for 4454 has been renewed.,safe
Your order #1153 has been shipped.,safe
Thank you for your payment of $4366.,safe
You have an unpaid invoice of $4868. Pay now: http://bit.ly/1589,fraud
Your subscription for 4029 has been renewed.,safe
Win a new iPhone! Click 1588 to enter.,fraud
Reminder: Your appointment is scheduled for 7024.,safe
Payment of $1249 was successfully processed.,safe
Urgent! Your credit card will be blocked. Action required: 2755,fraud
Congratulations! You won $153. Click here to claim: http://bit.ly/8116,fraud
Your account has been compromised. Verify now: 3739,fraud
Your OTP is 6385. Please do not share it with anyone.,safe
Congratulations! You won $1088. Click here to claim: http://bit.ly/7232,fraud
Your bank account ending with 551 has been credited with $August.,safe
Urgent! Your credit card will be blocked. Action required: 4265,fraud
Your subscription for 9700 has been renewed.,safe
Unauthorized login attempt detected. Verify your account: 765,fraud
You have an unpaid invoice of $529. Pay now: http://bit.ly/6594,fraud
Your package with tracking number 1552 is in transit.,safe
You are selected for a loan of $350. Apply here: http://bit.ly/2803,fraud
You are selected for a loan of $2147. Apply here: http://bit.ly/9579,fraud
You received a prize of $381. Visit http://bit.ly/8305 to claim it.,fraud
Your bank account ending with 6879 has been credited with $October.,safe
Your OTP is 6376. Please do not share it with anyone.,safe
Your account statement for 3305 is now available.,safe
You are selected for a loan of $1478. Apply here: http://bit.ly/8514,fraud
Urgent! Your credit card will be blocked. Action required: 3732,fraud
Your order #4584 has been shipped.,safe
You are selected for a loan of $2845. Apply here: http://bit.ly/5781,fraud
Your account has been compromised. Verify now: 3633,fraud
Unauthorized login attempt detected. Verify your account: 2003,fraud
Unauthorized login attempt detected. Verify your account: 3275,fraud
Your package with tracking number 3351 is in transit.,safe
You have an unpaid invoice of $2319. Pay now: http://bit.ly/1686,fraud
Thank you for your payment of $8572.,safe
Your bill of $3301 is due on December.,safe
Your bill of $1890 is due on November.,safe
Congratulations! You won $1140. Click here to claim: http://bit.ly/5474,fraud
Your bank account ending with 9272 has been credited with $November.,safe
Thank you for your payment of $1979.,safe
Your account statement for 5757 is now available.,safe
Your account has been compromised. Verify now: 3807,fraud
Account suspension notice! Click 3642 to reactivate.,fraud
Confirm your password immediately: 2415,fraud
Thank you for your payment of $4007.,safe
Your subscription for 2878 has been renewed.,safe
Unauthorized login attempt detected. Verify your account: 748,fraud
Your account has been compromised. Verify now: 1515,fraud
Account suspension notice! Click 2306 to reactivate.,fraud
Your bank account ending with 9729 has been credited with $December.,safe
Your OTP is 4171. Please do not share it with anyone.,safe
Reminder: Your appointment is scheduled for 3860.,safe
Account suspension notice! Click 1934 to reactivate.,fraud
Your subscription for 8100 has been renewed.,safe
Unauthorized login attempt detected. Verify your account: 349,fraud
You have an unpaid invoice of $1035. Pay now: http://bit.ly/7387,fraud
Your package with tracking number 2778 is in transit.,safe
Your account has been compromised. Verify now: 2318,fraud
Your bank account ending with 9931 has been credited with $December.,safe
You are selected for a loan of $1409. Apply here: http://bit.ly/6093,fraud
Unauthorized login attempt detected. Verify your account: 1030,fraud
Your bill of $432 is due on November.,safe
You received a prize of $1953. Visit http://bit.ly/3323 to claim it.,fraud
Your bill of $4261 is due on December.,safe
Your package with tracking number 4084 is in transit.,safe
You are selected for a loan of $1345. Apply here: http://bit.ly/2712,fraud
Your package with tracking number 7381 is in transit.,safe
Payment of $8158 was successfully processed.,safe
Reminder: Your appointment is scheduled for 6596.,safe
Your account has been compromised. Verify now: 4444,fraud
Your account statement for 6873 is now available.,safe
Your package with tracking number 1040 is in transit.,safe
Your OTP is 260. Please do not share it with anyone.,safe
Your bill of $3195 is due on August.,safe
Your OTP is 1278. Please do not share it with anyone.,safe
Account suspension notice! Click 460 to reactivate.,fraud
You are selected for a loan of $4862. Apply here: http://bit.ly/1008,fraud
Payment of $7306 was successfully processed.,safe
Your bill of $166 is due on December.,safe
Congratulations! You won $2497. Click here to claim: http://bit.ly/1658,fraud
Your bank account ending with 8952 has been credited with $November.,safe
Win a new iPhone! Click 1224 to enter.,fraud
Your OTP is 2718. Please do not share it with anyone.,safe
Urgent! Your credit card will be blocked. Action required: 1505,fraud
Reminder: Your appointment is scheduled for 6287.,safe
Your order #3480 has been shipped.,safe
You have an unpaid invoice of $892. Pay now: http://bit.ly/8611,fraud
Confirm your password immediately: 672,fraud
Congratulations! You won $3483. Click here to claim: http://bit.ly/7506,fraud
Win a new iPhone! Click 1366 to enter.,fraud
Your account has been compromised. Verify now: 3670,fraud
Confirm your password immediately: 717,fraud
Account suspension notice! Click 544 to reactivate.,fraud
You received a prize of $1996. Visit http://bit.ly/8563 to claim it.,fraud
Your OTP is 7984. Please do not share it with anyone.,safe
Your account has been compromised. Verify now: 1021,fraud
You received a prize of $2352. Visit http://bit.ly/3864 to claim it.,fraud
You received a prize of $2262. Visit http://bit.ly/6332 to claim it.,fraud
Your OTP is 3945. Please do not share it with anyone.,safe
You are selected for a loan of $1446. Apply here: http://bit.ly/2659,fraud
Your order #3582 has been shipped.,safe
Confirm your password immediately: 1186,fraud
You are selected for a loan of $3171. Apply here: http://bit.ly/9622,fraud
Your package with tracking number 373 is in transit.,safe
You received a prize of $3942. Visit http://bit.ly/8553 to claim it.,fraud
Your account statement for 1862 is now available.,safe
Payment of $8264 was successfully processed.,safe
You are selected for a loan of $2131. Apply here: http://bit.ly/8841,fraud
Confirm your password immediately: 2401,fraud
Payment of $2597 was successfully processed.,safe
You are selected for a loan of $4638. Apply here: http://bit.ly/8391,fraud
Your package with tracking number 983 is in transit.,safe
Your order #5640 has been shipped.,safe
Win a new iPhone! Click 4426 to enter.,fraud
You have an unpaid invoice of $4567. Pay now: http://bit.ly/4049,fraud
Congratulations! You won $4269. Click here to claim: http://bit.ly/9341,fraud
Thank you for your payment of $8212.,safe
Your bill of $3877 is due on September.,safe
Your account statement for 8887 is now available.,safe
Your bill of $1145 is due on November.,safe
Payment of $6956 was successfully processed.,safe
You are selected for a loan of $2056. Apply here: http://bit.ly/4424,fraud
Payment of $5899 was successfully processed.,safe
Your bank account ending with 3797 has been credited with $August.,safe
Payment of $491 was successfully processed.,safe
Win a new iPhone! Click 2481 to enter.,fraud
Your account statement for 452 is now available.,safe
You have an unpaid invoice of $652. Pay now: http://bit.ly/1670,fraud
You are selected for a loan of $2225. Apply here: http://bit.ly/1554,fraud
Your subscription for 6542 has been renewed.,safe
Your account has been compromised. Verify now: 188,fraud
Your package with tracking number 6807 is in transit.,safe
Win a new iPhone! Click 1082 to enter.,fraud
Your order #5849 has been shipped.,safe
Payment of $8171 was successfully processed.,safe
Your OTP is 9405. Please do not share it with anyone.,safe
Unauthorized login attempt detected. Verify your account: 711,fraud
You received a prize of $2519. Visit http://bit.ly/2417 to claim it.,fraud
Payment of $6001 was successfully processed.,safe
Your bank account ending with 4475 has been credited with $November.,safe
Win a new iPhone! Click 730 to enter.,fraud
Congratulations! You won $2669. Click here to claim: http://bit.ly/3976,fraud
Your account statement for 7916 is now available.,safe
Your bill of $2926 is due on September.,safe
Your order #6582 has been shipped.,safe
Your bill of $4160 is due on October.,safe
Unauthorized login attempt detected. Verify your account: 3078,fraud
Your account has been compromised. Verify now: 3156,fraud
Unauthorized login attempt detected. Verify your account: 536,fraud
Your OTP is 6177. Please do not share it with anyone.,safe
Account suspension notice! Click 4956 to reactivate.,fraud
You have an unpaid invoice of $3962. Pay now: http://bit.ly/6124,fraud
Your bill of $554 is due on December.,safe
Account suspension notice! Click 2148 to reactivate.,fraud
Unauthorized login attempt detected. Verify your account: 1183,fraud
Your account has been compromised. Verify now: 1202,fraud
Your order #8772 has been shipped.,safe
Urgent! Your credit card will be blocked. Action required: 3828,fraud
Unauthorized login attempt detected. Verify your account: 1393,fraud
You have an unpaid invoice of $500. Pay now: http://bit.ly/8333,fraud
Your account has been compromised. Verify now: 4551,fraud
Your OTP is 6948. Please do not share it with anyone.,safe
Your subscription for 3933 has been renewed.,safe
Your order #9718 has been shipped.,safe
Your order #1993 has been shipped.,safe
You have an unpaid invoice of $2303. Pay now: http://bit.ly/2043,fraud
You have an unpaid invoice of $1008. Pay now: http://bit.ly/1094,fraud
Your account has been compromised. Verify now: 2794,fraud
Your bank account ending with 4186 has been credited with $October.,safe
Congratulations! You won $2211. Click here to claim: http://bit.ly/9426,fraud
Account suspension notice! Click 1675 to reactivate.,fraud
Urgent! Your credit card will be blocked. Action required: 1816,fraud
Account suspension notice! Click 2580 to reactivate.,fraud
Thank you for your payment of $805.,safe
You have an unpaid invoice of $4156. Pay now: http://bit.ly/8278,fraud
Your account has been compromised. Verify now: 1464,fraud
Your OTP is 9824. Please do not share it with anyone.,safe
Confirm your password immediately: 2038,fraud
Your order #5603 has been shipped.,safe
Reminder: Your appointment is scheduled for 2045.,safe
Your account has been compromised. Verify now: 4715,fraud
Your account has been compromised. Verify now: 3738,fraud
You have an unpaid invoice of $4710. Pay now: http://bit.ly/5934,fraud
Your subscription for 5697 has been renewed.,safe
Your account has been compromised. Verify now: 4744,fraud
You received a prize of $1438. Visit http://bit.ly/6157 to claim it.,fraud
Confirm your password immediately: 1036,fraud
You received a prize of $241. Visit http://bit.ly/9527 to claim it.,fraud
Win a new iPhone! Click 3038 to enter.,fraud
Your order #1295 has been shipped.,safe
Win a new iPhone! Click 2092 to enter.,fraud
Your OTP is 7700. Please do not share it with anyone.,safe
Account suspension notice! Click 3839 to reactivate.,fraud
Congratulations! You won $476. Click here to claim: http://bit.ly/3810,fraud
You received a prize of $4444. Visit http://bit.ly/9658 to claim it.,fraud
Congratulations! You won $3441. Click here to claim: http://bit.ly/8904,fraud
Your subscription for 3891 has been renewed.,safe
Urgent! Your credit card will be blocked. Action required: 4052,fraud
Account suspension notice! Click 2722 to reactivate.,fraud
You have an unpaid invoice of $2140. Pay now: http://bit.ly/1479,fraud
Your account has been compromised. Verify now: 4584,fraud
Your bank account ending with 8697 has been credited with $August.,safe
Win a new iPhone! Click 3519 to enter.,fraud
Win a new iPhone! Click 3928 to enter.,fraud
Your order #5440 has been shipped.,safe
Your OTP is 765. Please do not share it with anyone.,safe
Your subscription for 7399 has been renewed.,safe
Your order #7426 has been shipped.,safe
Your account statement for 5178 is now available.,safe
You have an unpaid invoice of $4565. Pay now: http://bit.ly/8237,fraud
Reminder: Your appointment is scheduled for 8686.,safe
Your subscription for 5065 has been renewed.,safe
Win a new iPhone! Click 1416 to enter.,fraud
Confirm your password immediately: 3657,fraud
Your OTP is 5992. Please do not share it with anyone.,safe
Win a new iPhone! Click 672 to enter.,fraud
Your account has been compromised. Verify now: 4231,fraud
Reminder: Your appointment is scheduled for 4903.,safe
Account suspension notice! Click 4907 to reactivate.,fraud
Urgent! Your credit card will be blocked. Action required: 2777,fraud
Your account statement for 5193 is now available.,safe
Your bill of $8135 is due on August.,safe
Urgent! Your credit card will be blocked. Action required: 1538,fraud
You are selected for a loan of $1762. Apply here: http://bit.ly/5117,fraud
You have an unpaid invoice of $2641. Pay now: http://bit.ly/1716,fraud
Urgent! Your credit card will be blocked. Action required: 4578,fraud
Your bill of $2519 is due on December.,safe
Thank you for your payment of $6780.,safe
Your subscription for 753 has been renewed.,safe
You are selected for a loan of $856. Apply here: http://bit.ly/7149,fraud
Payment of $8237 was successfully processed.,safe
You are selected for a loan of $242. Apply here: http://bit.ly/1765,fraud
Your package with tracking number 5357 is in transit.,safe
You received a prize of $2796. Visit http://bit.ly/6078 to claim it.,fraud
Your package with tracking number 5541 is in transit.,safe
Your subscription for 8408 has been renewed.,safe
Account suspension notice! Click 4435 to reactivate.,fraud
Thank you for your payment of $5200.,safe
Urgent! Your credit card will be blocked. Action required: 4358,fraud
Unauthorized login attempt detected. Verify your account: 268,fraud
You have an unpaid invoice of $3649. Pay now: http://bit.ly/3924,fraud
Unauthorized login attempt detected. Verify your account: 4429,fraud
Confirm your password immediately: 3288,fraud
Payment of $1479 was successfully processed.,safe
Your bill of $6451 is due on December.,safe
Reminder: Your appointment is scheduled for 5168.,safe
You have an unpaid invoice of $1798. Pay now: http://bit.ly/7063,fraud
Thank you for your payment of $4820.,safe
Payment of $5647 was successfully processed.,safe
Your subscription for 8473 has been renewed.,safe
Confirm your password immediately: 3394,fraud
Your account has been compromised. Verify now: 3074,fraud
Thank you for your payment of $9614.,safe
Your bill of $1553 is due on December.,safe
Your bill of $4850 is due on September.,safe
Unauthorized login attempt detected. Verify your account: 204,fraud
You received a prize of $936. Visit http://bit.ly/4303 to claim it.,fraud
Payment of $1365 was successfully processed.,safe
Your OTP is 166. Please do not share it with anyone.,safe
Your package with tracking number 5914 is in transit.,safe
Confirm your password immediately: 4775,fraud
Congratulations! You won $2225. Click here to claim: http://bit.ly/6404,fraud
Your bank account ending with 8540 has been credited with $October.,safe
Thank you for your payment of $2952.,safe
Payment of $299 was successfully processed.,safe
Unauthorized login attempt detected. Verify your account: 158,fraud
Account suspension notice! Click 2875 to reactivate.,fraud
Your OTP is 7483. Please do not share it with anyone.,safe
Your order #5875 has been shipped.,safe
Your account has been compromised. Verify now: 4460,fraud
Confirm your password immediately: 4968,fraud
Congratulations! You won $188. Click here to claim: http://bit.ly/4697,fraud
Your bank account ending with 1196 has been credited with $October.,safe
Your package with tracking number 427 is in transit.,safe
Your order #6016 has been shipped.,safe
Your bank account ending with 9065 has been credited with $October.,safe
Your account has been compromised. Verify now: 4464,fraud
You have an unpaid invoice of $1703. Pay now: http://bit.ly/2972,fraud
Account suspension notice! Click 3274 to reactivate.,fraud
Payment of $1082 was successfully processed.,safe
Payment of $6984 was successfully processed.,safe
Your account statement for 779 is now available.,safe
Your account has been compromised. Verify now: 3392,fraud
Your OTP is 461. Please do not share it with anyone.,safe
Your package with tracking number 6348 is in transit.,safe
Unauthorized login attempt detected. Verify your account: 4632,fraud
Your account statement for 7209 is now available.,safe
Your account statement for 7484 is now available.,safe
Account suspension notice! Click 1809 to reactivate.,fraud
Confirm your password immediately: 3111,fraud
Your account has been compromised. Verify now: 1276,fraud
Your order #6365 has been shipped.,safe
Your bank account ending with 9400 has been credited with $September.,safe
You have an unpaid invoice of $2860. Pay now: http://bit.ly/5750,fraud
Confirm your password immediately: 1318,fraud
Confirm your password immediately: 4353,fraud
Your package with tracking number 5592 is in transit.,safe
Your package with tracking number 3724 is in transit.,safe
Account suspension notice! Click 2461 to reactivate.,fraud
You received a prize of $970. Visit http://bit.ly/6437 to claim it.,fraud
Unauthorized login attempt detected. Verify your account: 3595,fraud
Unauthorized login attempt detected. Verify your account: 3385,fraud
Thank you for your payment of $2537.,safe
Win a new iPhone! Click 4259 to enter.,fraud
Unauthorized login attempt detected. Verify your account: 4528,fraud
Your subscription for 2295 has been renewed.,safe
Your bill of $8333 is due on December.,safe
Your bill of $3623 is due on September.,safe
Your bill of $7723 is due on November.,safe
You received a prize of $852. Visit http://bit.ly/9190 to claim it.,fraud
Your OTP is 5837. Please do not share it with anyone.,safe
Congratulations! You won $2935. Click here to claim: http://bit.ly/6392,fraud
Your subscription for 3959 has been renewed.,safe
Thank you for your payment of $2417.,safe
You received a prize of $4825. Visit http://bit.ly/4500 to claim it.,fraud
Win a new iPhone! Click 258 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 4556,fraud
You are selected for a loan of $4356. Apply here: http://bit.ly/1831,fraud
Your subscription for 2375 has been renewed.,safe
Your OTP is 9076. Please do not share it with anyone.,safe
Account suspension notice! Click 4612 to reactivate.,fraud
Your account has been compromised. Verify now: 1165,fraud
You have an unpaid invoice of $1461. Pay now: http://bit.ly/4793,fraud
Your account statement for 1814 is now available.,safe
Your OTP is 6870. Please do not share it with anyone.,safe
Your OTP is 1979. Please do not share it with anyone.,safe
Unauthorized login attempt detected. Verify your account: 4325,fraud
Your bank account ending with 4656 has been credited with $October.,safe
Unauthorized login attempt detected. Verify your account: 2731,fraud
Your package with tracking number 3578 is in transit.,safe
Your account statement for 2860 is now available.,safe
Your account statement for 374 is now available.,safe
You received a prize of $3168. Visit http://bit.ly/1574 to claim it.,fraud
Your package with tracking number 3039 is in transit.,safe
Your OTP is 116. Please do not share it with anyone.,safe
Your account has been compromised. Verify now: 183,fraud
Unauthorized login attempt detected. Verify your account: 4980,fraud
Reminder: Your appointment is scheduled for 8321.,safe
Confirm your password immediately: 2612,fraud
Win a new iPhone! Click 1267 to enter.,fraud
Unauthorized login attempt detected. Verify your account: 3755,fraud
Urgent! Your credit card will be blocked. Action required: 2603,fraud
Payment of $9043 was successfully processed.,safe
Reminder: Your appointment is scheduled for 2822.,safe
Your account statement for 9439 is now available.,safe
Thank you for your payment of $3915.,safe
Your order #5035 has been shipped.,safe
You are selected for a loan of $3381. Apply here: http://bit.ly/8903,fraud
Account suspension notice! Click 2783 to reactivate.,fraud
Your order #3629 has been shipped.,safe
Unauthorized login attempt detected. Verify your account: 4380,fraud
Win a new iPhone! Click 2547 to enter.,fraud
Account suspension notice! Click 4941 to reactivate.,fraud
Payment of $5877 was successfully processed.,safe
You received a prize of $2496. Visit http://bit.ly/9812 to claim it.,fraud
Your bank account ending with 3171 has been credited with $November.,safe
Your OTP is 891. Please do not share it with anyone.,safe
Thank you for your payment of $7190.,safe
Your account statement for 4275 is now available.,safe
Your package with tracking number 1179 is in transit.,safe
You received a prize of $749. Visit http://bit.ly/4220 to claim it.,fraud
You have an unpaid invoice of $2353. Pay now: http://bit.ly/2265,fraud
Thank you for your payment of $1304.,safe
Your subscription for 9155 has been renewed.,safe
Your subscription for 9014 has been renewed.,safe
Thank you for your payment of $7352.,safe
You have an unpaid invoice of $2119. Pay now: http://bit.ly/4821,fraud
Urgent! Your credit card will be blocked. Action required: 774,fraud
You received a prize of $1858. Visit http://bit.ly/5563 to claim it.,fraud
Your bank account ending with 3555 has been credited with $September.,safe
Your account has been compromised. Verify now: 3047,fraud
Win a new iPhone! Click 3279 to enter.,fraud
Your bank account ending with 2241 has been credited with $November.,safe
Your bank account ending with 7341 has been credited with $October.,safe
Unauthorized login attempt detected. Verify your account: 1289,fraud
You received a prize of $4064. Visit http://bit.ly/5377 to claim it.,fraud
You have an unpaid invoice of $1148. Pay now: http://bit.ly/6860,fraud
Congratulations! You won $3186. Click here to claim: http://bit.ly/8806,fraud
You have an unpaid invoice of $1830. Pay now: http://bit.ly/3764,fraud
Your account statement for 9343 is now available.,safe
Your subscription for 4650 has been renewed.,safe
You are selected for a loan of $2725. Apply here: http://bit.ly/6450,fraud
Win a new iPhone! Click 952 to enter.,fraud
Your order #8697 has been shipped.,safe
Your bank account ending with 5242 has been credited with $September.,safe
Your package with tracking number 4006 is in transit.,safe
Your package with tracking number 4671 is in transit.,safe
You are selected for a loan of $2182. Apply here: http://bit.ly/2721,fraud
You received a prize of $3104. Visit http://bit.ly/1656 to claim it.,fraud
You have an unpaid invoice of $3829. Pay now: http://bit.ly/8107,fraud
Thank you for your payment of $6601.,safe
Confirm your password immediately: 2837,fraud
Confirm your password immediately: 4356,fraud
Your bank account ending with 1286 has been credited with $October.,safe
Win a new iPhone! Click 2273 to enter.,fraud
Congratulations! You won $2223. Click here to claim: http://bit.ly/3498,fraud
Congratulations! You won $3880. Click here to claim: http://bit.ly/6810,fraud
Your package with tracking number 9958 is in transit.,safe
Payment of $7345 was successfully processed.,safe
Payment of $5021 was successfully processed.,safe
Your bank account ending with 8097 has been credited with $October.,safe
Your OTP is 9389. Please do not share it with anyone.,safe
Congratulations! You won $4315. Click here to claim: http://bit.ly/4817,fraud
Your account statement for 1712 is now available.,safe
Your bill of $2747 is due on September.,safe
Payment of $1297 was successfully processed.,safe
Your account has been compromised. Verify now: 2232,fraud
Your OTP is 3204. Please do not share it with anyone.,safe
Account suspension notice! Click 1490 to reactivate.,fraud
Your bank account ending with 1839 has been credited with $September.,safe
You received a prize of $1663. Visit http://bit.ly/4563 to claim it.,fraud
Confirm your password immediately: 3227,fraud
Your account statement for 2622 is now available.,safe
Your subscription for 9827 has been renewed.,safe
Unauthorized login attempt detected. Verify your account: 4010,fraud
You are selected for a loan of $1825. Apply here: http://bit.ly/6889,fraud
Your order #3840 has been shipped.,safe
You are selected for a loan of $1315. Apply here: http://bit.ly/4559,fraud
Unauthorized login attempt detected. Verify your account: 3190,fraud
Account suspension notice! Click 2393 to reactivate.,fraud
You received a prize of $2024. Visit http://bit.ly/5865 to claim it.,fraud
Your order #6565 has been shipped.,safe
Win a new iPhone! Click 3763 to enter.,fraud
You have an unpaid invoice of $3980. Pay now: http://bit.ly/7200,fraud
Your subscription for 2534 has been renewed.,safe
Payment of $6009 was successfully processed.,safe
Win a new iPhone! Click 1268 to enter.,fraud
Your account statement for 3957 is now available.,safe
Payment of $2128 was successfully processed.,safe
Urgent! Your credit card will be blocked. Action required: 2952,fraud
Your account has been compromised. Verify now: 2760,fraud
Win a new iPhone! Click 680 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 766,fraud
You have an unpaid invoice of $2461. Pay now: http://bit.ly/1578,fraud
Reminder: Your appointment is scheduled for 9906.,safe
You are selected for a loan of $4981. Apply here: http://bit.ly/1905,fraud
Account suspension notice! Click 3180 to reactivate.,fraud
Thank you for your payment of $2160.,safe
You are selected for a loan of $3462. Apply here: http://bit.ly/1831,fraud
Congratulations! You won $3928. Click here to claim: http://bit.ly/7791,fraud
Your order #3985 has been shipped.,safe
Payment of $6151 was successfully processed.,safe
Your account has been compromised. Verify now: 1655,fraud
Your OTP is 1618. Please do not share it with anyone.,safe
Your bill of $9025 is due on August.,safe
Your bank account ending with 275 has been credited with $October.,safe
You have an unpaid invoice of $1720. Pay now: http://bit.ly/7897,fraud
You have an unpaid invoice of $484. Pay now: http://bit.ly/4531,fraud
Your subscription for 8493 has been renewed.,safe
Win a new iPhone! Click 1771 to enter.,fraud
Win a new iPhone! Click 2232 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 841,fraud
Account suspension notice! Click 400 to reactivate.,fraud
